,Canonical_smiles,Murcko,ClassC,No
281,Cc1ccc(cc1)C(=O)c2ccc(CC(=O)O)n2C,O=C(c1ccccc1)c1ccc[nH]1,0,6811
4498,O=S1(=O)CCC(CC1)C2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccccc6,O=S1(=O)CCC(C2NC(c3nc(-c4ccccc4)c[nH]3)Cc3c2[nH]c2ccccc32)CC1,1,5739
2972,CC(N1[C@@H]2CC[C@H]1C[C@@H](C2)Oc3cccc(c3)C(=O)N)c4ccccc4C,c1ccc(CN2C3CCC2CC(Oc2ccccc2)C3)cc1,1,7980
3909,CCN1C(=O)C(=Cc2nnc(c3c(F)cccc3Cl)n12)c4cc(ccc4C)C(=O)NC5CC5,O=C(NC1CC1)c1cccc(-c2cc3nnc(-c4ccccc4)n3[nH]c2=O)c1,0,8253
3365,COc1ccc(cc1)N2C=Nc3c(sc4nccc(NCC#C)c34)C2=O,O=c1c2sc3ncccc3c2ncn1-c1ccccc1,0,2289
6446,Fc1cnc2ccc(nc2c1CCC34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)N7CCOCC7,O=C1COc2ccc(CNC34CCC(CCc5ccnc6ccc(N7CCOCC7)nc56)(CC3)OC4)nc2N1,1,5965
2698,CC(=O)N1CCC(CC1)c2[nH]nc(c3ccc(F)cc3)c2c4ccncc4,c1ccc(-c2n[nH]c(C3CCNCC3)c2-c2ccncc2)cc1,1,6312
3950,COc1cccc(c1)C(=O)CN2C(=O)N(C)c3c(C#N)c(N4CCC[C@H](N)C4)n(Cc5ccccc5)c3C2=O,O=C(Cn1c(=O)[nH]c2cc(N3CCCCC3)n(Cc3ccccc3)c2c1=O)c1ccccc1,1,5675
5509,CCCN1C(=O)CC2(CCN(CC3CCN(CC3)C(=O)OCC)CC2)c4cccnc14,O=C1CC2(CCN(CC3CCNCC3)CC2)c2cccnc2N1,1,6434
7911,[2H]C1([2H])OC(=N[C@]12c3cc(ccc3C[C@@]24CC[C@H](OC)[C@@H](C)C4)c5cncnc5)N,C1=NC2(CO1)c1cc(-c3cncnc3)ccc1CC21CCCCC1,0,1598
481,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc4cc(F)ccc4[C@@H]1C(C)C,c1ccc2c(c1)CCC(CCNCCCc1nc3ccccc3[nH]1)C2,1,7319
7821,Cl.Cl.CCCCc1cc(OC2CCN(CCCCNS(=O)(=O)C(C)C)CC2)c3ncccc3c1,c1cnc2c(OC3CCNCC3)cccc2c1,1,4237
6410,CNC(=O)c1ccc(Oc2ccc(cc2)S(=O)(=O)[C@@]3(CCC4(CCNCC4)C3)C(=O)NO)cc1,O=S(=O)(c1ccc(Oc2ccccc2)cc1)C1CCC2(CCNCC2)C1,0,6687
7953,CCOC(=O)C1=C(CN2CCOC[C@@H]2CCC(=O)O)NC(=N[C@H]1c3ccc(F)cc3Br)c4nccs4,C1=C(CN2CCOCC2)NC(c2nccs2)=NC1c1ccccc1,0,7058
1094,O=C1[C@H](CCN1Cc2ccccc2)N(Cc3cccnc3)Cc4cncn4Cc5ccc(cc5)C#N,O=C1C(N(Cc2cccnc2)Cc2cncn2Cc2ccccc2)CCN1Cc1ccccc1,1,5568
2682,C[C@@H](c1ncccc1F)c2c(CCN(C)C)sc3ccccc23,c1ccc(Cc2csc3ccccc23)nc1,1,495
572,CCN(CC)C(=O)N[C@@H]1CN(C)[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34,C1=C2c3cccc4[nH]cc(c34)CC2NCC1,0,3414
891,OC[C@H]1CCCN1CCCOc2ccc3c(Nc4cnn(CC(=O)Nc5cccc(F)c5F)c4)nncc3c2,O=C(Cn1cc(Nc2nncc3cc(OCCCN4CCCC4)ccc23)cn1)Nc1ccccc1,0,4755
2183,CC1(C)[C@@H]2CC[C@]13CCN(CCN4CCN(C4=O)c5cccc(Cl)c5)C3C2,O=C1N(CCN2CCC34CCC(CC23)C4)CCN1c1ccccc1,1,7271
1679,FC(F)(F)c1ccc(cc1)C2=CC3(CCNCC3)Oc4ccccc24,C1=C(c2ccccc2)c2ccccc2OC12CCNCC2,1,5763
6028,Cl.COc1ccc(NC(=O)N2CCNC[C@@H]2COc3cccnc3)cc1,O=C(Nc1ccccc1)N1CCNCC1COc1cccnc1,0,1594
1533,CNC(=O)c1c(NCC2CCC3(CCC3)CC2)nc(nc1OCC4CCN(CC4)C(C)C)C#N,c1nc(NCC2CCC3(CCC3)CC2)cc(OCC2CCNCC2)n1,1,1449
2613,CCCCC(N1CCOCC1)C(O)(c2cccnc2)c3cccnc3,c1cncc(C(CN2CCOCC2)c2cccnc2)c1,0,5392
2493,CN1c2nc(c(cc2C(CC1(C)C)C(=O)NCO)c3ccc(Cl)cc3)c4ccc(Cl)cc4Cl,c1ccc(-c2cc3c(nc2-c2ccccc2)NCCC3)cc1,1,191
3787,COc1ccc(cc1)c2noc(CSc3nnc(C)n3c4ccc(OC)cc4)n2,c1ccc(-c2noc(CSc3nncn3-c3ccccc3)n2)cc1,0,7785
4091,COc1cc(ccc1n2cnc(C)c2)c3cn(nn3)C4CC(CCNC4=O)C(F)(F)F,O=C1NCCCCC1n1cc(-c2ccc(-n3ccnc3)cc2)nn1,0,6406
7745,Fc1ccc(CCN2CC3CN(CCS(=O)(=O)NCc4ccc(cc4)C#N)CC(C2)O3)cc1,O=S(=O)(CCN1CC2CN(CCc3ccccc3)CC(C1)O2)NCc1ccccc1,0,2918
6144,Clc1ccc(cc1)C2(CC2)c3nnc4c(cccn34)C5CC5,c1ccc(C2(c3nnc4c(C5CC5)cccn34)CC2)cc1,0,3282
6282,Cc1ccc(cc1)c2nc(C)c(Cl)c(OCCCN3CCCCC3)n2,c1ccc(-c2nccc(OCCCN3CCCCC3)n2)cc1,1,943
5182,Clc1ccc(OCCCc2cccc(CCCOc3ccc(Cl)cc3)n2)cc1,c1ccc(OCCCc2cccc(CCCOc3ccccc3)n2)cc1,1,2889
4260,CN1CCN(CC1)c2ccc3N=CN(C(=O)c3c2)c4cc(ccc4C)C(=O)NC5CC5,O=C(NC1CC1)c1cccc(-n2cnc3ccc(N4CCNCC4)cc3c2=O)c1,0,5758
4626,Cc1ncc(cn1)c2ccccc2CCNC(=O)c3ccc(OCCOCC(F)(F)F)nc3,O=C(NCCc1ccccc1-c1cncnc1)c1cccnc1,0,6305
624,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,C1CCC2C(C1)CCC1C3CCCC3CCC21,0,3065
3414,NCC(=O)N1CCn2c(C1)nc(c3cccc(F)c3)c2Nc4ccc(F)cc4,c1ccc(Nc2c(-c3ccccc3)nc3n2CCNC3)cc1,0,1474
6828,C[C@H](NC(=O)COc1cc(c2c(nn(C)c2n1)c3ccccc3)C(F)(F)F)c4c(C)n[nH]c4C,O=C(COc1ccc2c(-c3ccccc3)n[nH]c2n1)NCc1cn[nH]c1,0,7949
3925,CCN(CC)C(=O)c1ccc(cc1)C(=C2CCN(Cc3ccc(F)cc3)CC2)c4ccc(NC(=O)OC)cc4,c1ccc(CN2CCC(=C(c3ccccc3)c3ccccc3)CC2)cc1,1,609
821,Cc1onc(c1)c2ccc3CCN(CCCSc4nnc(C5CCCC5)n4C)CCc3c2,c1cc(-c2ccc3c(c2)CCN(CCCSc2nnc(C4CCCC4)[nH]2)CC3)no1,1,7411
8276,O[C@@H]([C@H]1CC[C@@H](Cc2ccc(cc2)C(=O)N3CCN(Cc4nnn(CC(F)F)n4)CC3)N1)c5ccccc5,O=C(c1ccc(CC2CCC(Cc3ccccc3)N2)cc1)N1CCN(Cc2nn[nH]n2)CC1,0,5767
2969,CC(N1[C@@H]2CC[C@H]1C[C@@H](C2)Oc3cccc(c3)C(=O)N)c4ccc(C)s4,c1ccc(OC2CC3CCC(C2)N3Cc2cccs2)cc1,1,3471
3067,CC(C)S(=O)(=O)N[C@H]1CN(C[C@@H]1c2ccc(cc2)c3ccc(cc3)C#N)c4ccccc4,c1ccc(-c2ccc(C3CCN(c4ccccc4)C3)cc2)cc1,1,4116
1839,OC(c1cc(cc(c1)S(=O)(=O)N2CCN(CC2)C(=O)[C@@H]3C[C@H]3c4ccc(cc4)C(F)(F)F)C(F)(F)F)C(F)(F)F,O=C(C1CC1c1ccccc1)N1CCN(S(=O)(=O)c2ccccc2)CC1,1,104
2561,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccc(cc4)N5CCCCC5,c1cc2nc(-c3ccc(N4CCCCC4)cc3)ccc2cc1CCN1CCCC1,1,8283
1231,COc1cccc(c1)C2CCN(CC2)[C@@H]3CC[C@](C3)(C(C)C)C(=O)NCc4cc(cc(c4)C(F)(F)F)C(F)(F)F,O=C(NCc1ccccc1)C1CCC(N2CCC(c3ccccc3)CC2)C1,1,7494
4286,COc1c(cc(cc1C(C)(C)C)C(=O)N2CCN(CCCCCC(c3ccc(F)cc3)c4ccc(F)cc4)CC2)C(C)(C)C,O=C(c1ccccc1)N1CCN(CCCCCC(c2ccccc2)c2ccccc2)CC1,1,4933
5184,Cc1ccc(OCc2cccc(COc3ccc(C)cc3)[n+]2C)cc1,c1ccc(OCc2cccc(COc3ccccc3)[nH+]2)cc1,1,4364
3110,C[C@@H](C[C@@](C)(CS(=O)(=O)N1CCC(CCc2c(C)onc2C)CC1)N(O)C=O)c3ncc(F)cn3,O=S(=O)(CCCCc1ncccn1)N1CCC(CCc2cnoc2)CC1,0,310
7835,Fc1ccc(Nc2n[nH]c3cc(OC(F)(F)F)cnc23)cc1F,c1ccc(Nc2n[nH]c3cccnc23)cc1,0,3107
1902,Cl.CN1CCN(CCCCN2C(=O)CN(\N=C\c3oc(cc3)c4ccc(Cl)cc4)C2=O)CC1,O=C1CN(N=Cc2ccc(-c3ccccc3)o2)C(=O)N1CCCCN1CCNCC1,1,7546
8314,C[C@H]1N(CCn2c1nnc2c3nc(C)ns3)C(=O)c4ccc(Cl)c(Cl)c4,O=C(c1ccccc1)N1CCn2c(nnc2-c2ncns2)C1,0,1090
7679,Cn1c(SCCCN2CC[C@]3(C[C@@H]3c4ccc(cc4)C(F)(F)F)C2)nnc1c5ccc(cc5)C#N,c1ccc(-c2nnc(SCCCN3CCC4(CC4c4ccccc4)C3)[nH]2)cc1,1,116
2899,CC(C)c1ccc(cc1)S(=O)(=O)Nc2ccc(cc2)[C@@]34C[C@@H]3CN(CC=C)C4,O=S(=O)(Nc1ccc(C23CNCC2C3)cc1)c1ccccc1,1,8121
4222,O[C@@]1(CC[C@H](CC1)N[C@H]2CCN(C2)C(=O)CNC(=O)c3cccc(c3)C(F)(F)F)c4ccc(cn4)c5cccnc5,O=C(NCC(=O)N1CCC(NC2CCC(c3ccc(-c4cccnc4)cn3)CC2)C1)c1ccccc1,0,2879
5778,CN1[C@H](CN(Cc2ccc(Cl)cc2)S(=O)(=O)c3cccc(c3)C#N)CCC1=O,O=C1CCC(CN(Cc2ccccc2)S(=O)(=O)c2ccccc2)N1,0,4632
5185,Cc1ccc(COCc2cccc(COCc3ccc(C)cc3)[n+]2C)cc1,c1ccc(COCc2cccc(COCc3ccccc3)[nH+]2)cc1,1,2249
707,CC(C)N1CCN(CC1)C(=O)N2CCC(CC2)C(C)(C)C,O=C(N1CCCCC1)N1CCNCC1,0,1947
4249,CN(CCCC(=O)NCC#N)C(=O)c1ccc2c(c1)c3C[C@@H](CCc3n2C)C4CCOCC4,c1ccc2c3c([nH]c2c1)CCC(C1CCOCC1)C3,0,1686
2453,Cc1ncoc1c2nnc(SCCCN3CC4CC4(C3)c5ccc(c(F)c5)C(F)(F)F)n2C,c1ccc(C23CC2CN(CCCSc2nnc(-c4cnco4)[nH]2)C3)cc1,1,489
7814,OC(=O)CC1CCC2(CCN(CC2)c3ccc(cn3)c4nc5cc(ccc5[nH]4)C(F)(F)F)OC1,c1ccc2[nH]c(-c3ccc(N4CCC5(CCCCO5)CC4)nc3)nc2c1,1,4267
7585,Cc1ncoc1c2nnc(SCCCN3CC[C@@]4(C[C@H]4c5ccc(F)cc5F)C3)n2C,c1ccc(C2CC23CCN(CCCSc2nnc(-c4cnco4)[nH]2)C3)cc1,1,691
618,COc1ccc(CN2CCNCC2)c(OC)c1OC,c1ccc(CN2CCNCC2)cc1,0,4790
3141,O=C1C=C(OCc2ccc3ccccc3c2)C=CN1c4ccc(OCCN5CCCC5)cc4,O=c1cc(OCc2ccc3ccccc3c2)ccn1-c1ccc(OCCN2CCCC2)cc1,1,201
2910,COc1cccc(c1)C2(O)CCCCC2CN(C)C,c1ccc(C2CCCCC2)cc1,0,8005
3343,Cc1c2CCCN3CC[C@H](CNc4cc(ccc4C(=O)N)n2c5CC(C)(C)CC(=O)c15)C3,O=C1CCCc2c1cc1n2-c2cccc(c2)NCC2CCN(CCC1)C2,1,4036
5596,CS(=O)(=O)O.OC(=O)c1ccccc1c2ccc(CN3CCC(COC(=O)c4c5OCCCn5c6ccccc46)CC3)cc2,O=C(OCC1CCN(Cc2ccc(-c3ccccc3)cc2)CC1)c1c2n(c3ccccc13)CCCO2,0,4177
3524,CC(C)CNc1nc(ncc1C(=O)NCc2ccccc2)N3CCN(CC4CCCOC4)CC3,O=C(NCc1ccccc1)c1cnc(N2CCN(CC3CCCOC3)CC2)nc1,1,1691
5055,COc1cc(ccc1N)C(=O)NC[C@@H](O)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3,O=C(NCCCN1CCC(Oc2ccccc2)CC1)c1ccccc1,1,1231
6087,COc1cnc2C=CC(=O)N(CCN3CCC(CC3)NCc4cnc(C)c(n4)C#N)c2c1,O=c1ccc2ncccc2n1CCN1CCC(NCc2cnccn2)CC1,0,1494
399,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,0,578
6454,Fc1cnc2cc(Cl)cnc2c1CCC34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5,O=C1COc2ccc(CNC34CCC(CCc5ccnc6cccnc56)(CC3)OC4)nc2N1,1,4159
2662,C[C@H](c1cccnc1)c2c(CCN(C)C)sc3ccccc23,c1cncc(Cc2csc3ccccc23)c1,1,1350
5929,CC(C)OC[C@H](Oc1ncnc2c1cnn2c3ncccc3Cl)C(=O)Nc4ccc(F)cn4,O=C(COc1ncnc2c1cnn2-c1ccccn1)Nc1ccccn1,0,2687
115,CN(CCOc1ccc(NS(=O)(=O)C)cc1)CCc2ccc(NS(=O)(=O)C)cc2,c1ccc(CCNCCOc2ccccc2)cc1,1,7077
1597,Oc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])C(=O)N\N=C\c2oc(cc2)[N+](=O)[O-],O=C(NN=Cc1ccco1)c1ccccc1,0,3900
7774,Fc1ccc(cc1)S(=O)(=O)NCCN2CC3CN(Cc4ccccc4)CC(C2)O3,O=S(=O)(NCCN1CC2CN(Cc3ccccc3)CC(C1)O2)c1ccccc1,0,5331
141,CN1CCC(=C2c3ccccc3CC(=O)c4sccc24)CC1,O=C1Cc2ccccc2C(=C2CCNCC2)c2ccsc21,0,5776
7387,C[C@@H](N)C(=O)N1CCC(CC1)n2nc(C)c(Nc3ncc(Cl)c(n3)c4cnn5ccccc45)c2C,c1ccn2ncc(-c3ccnc(Nc4cnn(C5CCNCC5)c4)n3)c2c1,0,2645
6078,COc1ccc2C=CC(=O)N(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2n1,O=C1COc2ccc(CNC3CCN(CCn4c(=O)ccc5cccnc54)CC3)nc2N1,0,2127
3720,N[C@H]1CCCN(C1)c2ncc(C(=O)N)c(Nc3cccc(c3)C(F)(F)F)n2,c1ccc(Nc2ccnc(N3CCCCC3)n2)cc1,1,4296
476,COC(=O)Nc1nc2cc(ccc2[nH]1)[S+]([O-])c3ccccc3,c1ccc([SH+]c2ccc3[nH]cnc3c2)cc1,0,1541
6677,OC(=O)C1(COc2ccc3ncc(F)c(CCC45CCC(CC4)(CO5)NCc6ccc7OCC(=O)Nc7n6)c3n2)CC1,O=C1COc2ccc(CNC34CCC(CCc5ccnc6ccc(OCC7CC7)nc56)(CC3)OC4)nc2N1,0,5590
3136,Fc1cccc(COC2=CC(=O)N(C=C2)c3ccc(OCCN4CCCC4)cc3)c1,O=c1cc(OCc2ccccc2)ccn1-c1ccc(OCCN2CCCC2)cc1,1,6166
8146,COc1ccc(NC(=N)NCCCOc2ccc(F)cc2)cc1,N=C(NCCCOc1ccccc1)Nc1ccccc1,1,4550
2610,CCOCCn1c(nc2ccccc12)N3CC[C@@H](C3)N(C)C,c1ccc2[nH]c(N3CCCC3)nc2c1,1,4113
5116,FC(F)(F)c1cnc2CCN(Cc2c1)C(=O)[C@@]34CCC[C@@H]3C[C@H](C4)NC5CCCCC5,O=C(N1CCc2ncccc2C1)C12CCCC1CC(NC1CCCCC1)C2,0,1403
5193,Cc1ccc(cc1)C#CCOCc2cccc(COCC#Cc3ccc(C)cc3)[n+]2C,C(#Cc1ccccc1)COCc1cccc(COCC#Cc2ccccc2)[nH+]1,1,6010
3752,COC(=O)C1(CNC(=O)c2cc(OC)cc(OC)c2)CCN(Cc3cccc(OC)c3)CC1,O=C(NCC1CCN(Cc2ccccc2)CC1)c1ccccc1,1,4501
297,CCN(CC)CCNC(=O)c1ccc(NC(=O)C)cc1,c1ccccc1,0,4819
4608,CSc1cc(CCN2CCN(CCc3ccc4C(=O)OCc4c3)CC2)ccc1C#N,O=C1OCc2cc(CCN3CCN(CCc4ccccc4)CC3)ccc21,1,622
483,CC(=C)[C@@H]1[C@H]2OC(=O)[C@@H]1[C@]3(O)C[C@H]4O[C@]45C(=O)O[C@H]2[C@]35C,O=C1OC2CC1C1CC3OC34C(=O)OC2C14,0,156
1238,Nc1ccccc1NC(=O)c2ccc(cc2)c3ncc(CN4CCC4)cc3C#N,O=C(Nc1ccccc1)c1ccc(-c2ccc(CN3CCC3)cn2)cc1,0,5383
6008,C[C@](O)(COc1ccc(F)cc1)C(=O)N2CCc3c(cccc23)C#N,O=C(CCOc1ccccc1)N1CCc2ccccc21,0,6521
529,O=C(N[C@@H]1CC[C@@H](CCN2CCc3cc(ccc3C2)C#N)CC1)c4ccnc5ccccc45,O=C(NC1CCC(CCN2CCc3ccccc3C2)CC1)c1ccnc2ccccc12,1,291
1180,OC=O.Fc1ccc(C(=O)N2CCN(C(=O)C2)c3ccc(OC4CCN(CC4)C5CCCC5)cc3)c(F)c1,O=C(c1ccccc1)N1CCN(c2ccc(OC3CCN(C4CCCC4)CC3)cc2)C(=O)C1,0,4127
3851,COc1ccc2ncc(F)c([C@H](O)CN3CCC(CC3)NCc4cc5OCCOc5cn4)c2n1,c1cnc2c(CCN3CCC(NCc4cc5c(cn4)OCCO5)CC3)ccnc2c1,0,4333
6520,Cl.CC1(C)C2CCC1(C)CC2NC(=O)[C@@H](CC3CCCCC3)NC(=O)N[C@@H](CCCCN)C(=O)O,O=C(CCC1CCCCC1)NC1CC2CCC1C2,0,7528
501,CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12,O=C1CCCC(CCC2CC=CC3=CCCCC32)O1,0,7599
1666,CCC[C@@H]1NC(=NC1(c2ccc(F)cc2)c3ccc(F)cc3)c4cc(ccn4)C#N,c1ccc(C2(c3ccccc3)CNC(c3ccccn3)=N2)cc1,1,1517
2874,NC(=O)c1ccnc(O[C@H]2C[C@H]3CC[C@@H](C2)N3Cc4ccccc4)c1,c1ccc(CN2C3CCC2CC(Oc2ccccn2)C3)cc1,1,543
203,O=C1C(C(=O)c2ccccc12)c3ccccc3,O=C1c2ccccc2C(=O)C1c1ccccc1,0,2995
129,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,c1ccc(Nc2ccccc2)cc1,0,2433
504,C\C(=C/c1ccccc1)\C=C\2/SC(=S)N(CC(=O)O)C2=O,O=C1NC(=S)SC1=CC=Cc1ccccc1,0,2266
3990,COc1cc(NCC2CCNCC2)nc3c1nnn3c4cccc(c4)N(C)C,c1ccc(-n2nnc3ccc(NCC4CCNCC4)nc32)cc1,0,750
824,Cc1onc(c1)c2ccc3CCN(CCCSc4nnc(c5ccc(cc5)C(F)(F)F)n4C)CCc3c2,c1ccc(-c2nnc(SCCCN3CCc4ccc(-c5ccon5)cc4CC3)[nH]2)cc1,1,385
1237,Nc1ccccc1NC(=O)c2ccc(cc2)c3ncc(CN4CCC4)cc3F,O=C(Nc1ccccc1)c1ccc(-c2ccc(CN3CCC3)cn2)cc1,0,5769
4195,CCOC(=O)C1CCN(CCCOc2ccc(cc2)S(=O)(=O)N)CC1,c1ccc(OCCCN2CCCCC2)cc1,0,2894
6729,C[C@H]1N(CCn2c1nnc2c3nc(C)ns3)C(=O)c4ccc(Cl)cc4,O=C(c1ccccc1)N1CCn2c(nnc2-c2ncns2)C1,0,8008
5382,CC(C)(C)NC(=O)NCCN1CCC(CO)(CNC(=O)c2cc(Cl)cc(Cl)c2)CC1,O=C(NCC1CCNCC1)c1ccccc1,0,5046
5732,COC1COCCC1N[C@@H]2C[C@H]3CN(C[C@]3(C2)C(=O)N4CCc5ncc(cc5C4)C(F)(F)F)C(=O)OC,O=C(N1CCc2ncccc2C1)C12CNCC1CC(NC1CCOCC1)C2,0,5191
