,Canonical_smiles,Murcko,ClassD,No
5102,CO[C@H]1C[C@@H]2C[C@H](C[C@@]2(C1)C(=O)N3CCc4ncc(cc4C3)C(F)(F)F)NC5CCOCC5OC,O=C(N1CCc2ncccc2C1)C12CCCC1CC(NC1CCOCC1)C2,0,832
7655,CCCCS(=O)(=O)NCCN1CC2CN(CCCOc3ccc(cc3)C#N)CC(C1)O2,c1ccc(OCCCN2CC3CNCC(C2)O3)cc1,0,7235
6282,Cc1ccc(cc1)c2nc(C)c(Cl)c(OCCCN3CCCCC3)n2,c1ccc(-c2nccc(OCCCN3CCCCC3)n2)cc1,1,943
5182,Clc1ccc(OCCCc2cccc(CCCOc3ccc(Cl)cc3)n2)cc1,c1ccc(OCCCc2cccc(CCCOc3ccccc3)n2)cc1,1,2889
3702,Cn1nc(NCC(=O)NC2CN(C2)[C@@H]3CC[C@@H](CC3)c4cncs4)c5cc(ccc15)C(F)(F)F,O=C(CNc1n[nH]c2ccccc12)NC1CN(C2CCC(c3cncs3)CC2)C1,0,4021
7443,Cc1oncc1S(=O)(=O)NCCN2CC3CN(CCCOc4ccc(cc4)C#N)CC(C2)O3,O=S(=O)(NCCN1CC2CN(CCCOc3ccccc3)CC(C1)O2)c1cnoc1,0,2540
6794,CNc1nc(NCC(F)(F)F)c2sc(cc2n1)c3ccc(cc3)C(F)(F)F,c1ccc(-c2cc3ncncc3s2)cc1,0,5571
4247,CNC(=O)CC[C@@H](CO)N(C)C(=O)c1ccc2c(c1)c3C[C@@H](CCc3n2C)C4CCOCC4,c1ccc2c3c([nH]c2c1)CCC(C1CCOCC1)C3,0,8276
5578,OC(=O)c1ccc(Oc2ccc(CN3CCC(CC3)N4[C@@H](CN(C5CCOCC5)C4=O)c6ccccc6)cc2)cc1,O=C1N(C2CCOCC2)CC(c2ccccc2)N1C1CCN(Cc2ccc(Oc3ccccc3)cc2)CC1,0,28
3925,CCN(CC)C(=O)c1ccc(cc1)C(=C2CCN(Cc3ccc(F)cc3)CC2)c4ccc(NC(=O)OC)cc4,c1ccc(CN2CCC(=C(c3ccccc3)c3ccccc3)CC2)cc1,1,609
821,Cc1onc(c1)c2ccc3CCN(CCCSc4nnc(C5CCCC5)n4C)CCc3c2,c1cc(-c2ccc3c(c2)CCN(CCCSc2nnc(C4CCCC4)[nH]2)CC3)no1,1,7411
5258,Nc1nc2cc3CCN(Cc4cnc[nH]4)CCc3cc2s1,c1ncc(CN2CCc3cc4ncsc4cc3CC2)[nH]1,0,5816
2969,CC(N1[C@@H]2CC[C@H]1C[C@@H](C2)Oc3cccc(c3)C(=O)N)c4ccc(C)s4,c1ccc(OC2CC3CCC(C2)N3Cc2cccs2)cc1,1,3471
3067,CC(C)S(=O)(=O)N[C@H]1CN(C[C@@H]1c2ccc(cc2)c3ccc(cc3)C#N)c4ccccc4,c1ccc(-c2ccc(C3CCN(c4ccccc4)C3)cc2)cc1,1,4116
1839,OC(c1cc(cc(c1)S(=O)(=O)N2CCN(CC2)C(=O)[C@@H]3C[C@H]3c4ccc(cc4)C(F)(F)F)C(F)(F)F)C(F)(F)F,O=C(C1CC1c1ccccc1)N1CCN(S(=O)(=O)c2ccccc2)CC1,1,104
2561,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccc(cc4)N5CCCCC5,c1cc2nc(-c3ccc(N4CCCCC4)cc3)ccc2cc1CCN1CCCC1,1,8283
1231,COc1cccc(c1)C2CCN(CC2)[C@@H]3CC[C@](C3)(C(C)C)C(=O)NCc4cc(cc(c4)C(F)(F)F)C(F)(F)F,O=C(NCc1ccccc1)C1CCC(N2CCC(c3ccccc3)CC2)C1,1,7494
4286,COc1c(cc(cc1C(C)(C)C)C(=O)N2CCN(CCCCCC(c3ccc(F)cc3)c4ccc(F)cc4)CC2)C(C)(C)C,O=C(c1ccccc1)N1CCN(CCCCCC(c2ccccc2)c2ccccc2)CC1,1,4933
5184,Cc1ccc(OCc2cccc(COc3ccc(C)cc3)[n+]2C)cc1,c1ccc(OCc2cccc(COc3ccccc3)[nH+]2)cc1,1,4364
4119,CC(C)NC(=O)NS(=O)(=O)c1ccc(OCCCCN2CCCC2)cc1,c1ccc(OCCCCN2CCCC2)cc1,0,7771
3267,CNCC[C@@H](Oc1cc(Cl)ccc1Cl)c2ccccc2.OC(=O)\C=C\C(=O)O,c1ccc(COc2ccccc2)cc1,0,2139
1902,Cl.CN1CCN(CCCCN2C(=O)CN(\N=C\c3oc(cc3)c4ccc(Cl)cc4)C2=O)CC1,O=C1CN(N=Cc2ccc(-c3ccccc3)o2)C(=O)N1CCCCN1CCNCC1,1,7546
6067,CS(=O)(=O)c1ccc2nc(N)n(CC(O)c3cccc(Cl)c3Cl)c2c1,c1ccc(CCn2cnc3ccccc32)cc1,0,7660
7679,Cn1c(SCCCN2CC[C@]3(C[C@@H]3c4ccc(cc4)C(F)(F)F)C2)nnc1c5ccc(cc5)C#N,c1ccc(-c2nnc(SCCCN3CCC4(CC4c4ccccc4)C3)[nH]2)cc1,1,116
2899,CC(C)c1ccc(cc1)S(=O)(=O)Nc2ccc(cc2)[C@@]34C[C@@H]3CN(CC=C)C4,O=S(=O)(Nc1ccc(C23CNCC2C3)cc1)c1ccccc1,1,8121
370,COCc1c(nc(C(C)C)c(\C=C\[C@@H](O)C[C@@H](O)CC(=O)O)c1c2ccc(F)cc2)C(C)C,c1ccc(-c2ccncc2)cc1,0,4274
7489,O=S(=O)(Cc1ccccc1)NCCN2CC3CN(CCCOc4ccc(cc4)C#N)CC(C2)O3,O=S(=O)(Cc1ccccc1)NCCN1CC2CN(CCCOc3ccccc3)CC(C1)O2,0,105
5185,Cc1ccc(COCc2cccc(COCc3ccc(C)cc3)[n+]2C)cc1,c1ccc(COCc2cccc(COCc3ccccc3)[nH+]2)cc1,1,2249
6090,Cc1ncc(CN[C@@H]2CCN(CCN3C(=O)C=Cc4ccc(cc34)C#N)C[C@@H]2F)cc1C#N,O=c1ccc2ccccc2n1CCN1CCC(NCc2cccnc2)CC1,0,3687
7500,Clc1ccc(CCN2CC3CN(CCNS(=O)(=O)c4ccc(cc4)C#N)CC(C2)O3)cc1,O=S(=O)(NCCN1CC2CN(CCc3ccccc3)CC(C1)O2)c1ccccc1,0,1678
2453,Cc1ncoc1c2nnc(SCCCN3CC4CC4(C3)c5ccc(c(F)c5)C(F)(F)F)n2C,c1ccc(C23CC2CN(CCCSc2nnc(-c4cnco4)[nH]2)C3)cc1,1,489
7814,OC(=O)CC1CCC2(CCN(CC2)c3ccc(cn3)c4nc5cc(ccc5[nH]4)C(F)(F)F)OC1,c1ccc2[nH]c(-c3ccc(N4CCC5(CCCCO5)CC4)nc3)nc2c1,1,4267
7585,Cc1ncoc1c2nnc(SCCCN3CC[C@@]4(C[C@H]4c5ccc(F)cc5F)C3)n2C,c1ccc(C2CC23CCN(CCCSc2nnc(-c4cnco4)[nH]2)C3)cc1,1,691
4519,Cc1nc(N)c2nnn(C[C@H]3CN(Cc4nccs4)CCO3)c2n1,c1csc(CN2CCOC(Cn3nnc4cncnc43)C2)n1,0,5876
3141,O=C1C=C(OCc2ccc3ccccc3c2)C=CN1c4ccc(OCCN5CCCC5)cc4,O=c1cc(OCc2ccc3ccccc3c2)ccn1-c1ccc(OCCN2CCCC2)cc1,1,201
4648,C[C@H](Nc1ccc2ncn(c3cc(C)[nH]n3)c2n1)c4ncc(F)cn4,c1cnc(CNc2ccc3ncn(-c4cc[nH]n4)c3n2)nc1,0,3231
3343,Cc1c2CCCN3CC[C@H](CNc4cc(ccc4C(=O)N)n2c5CC(C)(C)CC(=O)c15)C3,O=C1CCCc2c1cc1n2-c2cccc(c2)NCC2CCN(CCC1)C2,1,4036
5221,CS(=O)(=O)C1(CCNCC1)c2cc(nc(n2)c3cccc4[nH]ccc34)N5CCOCC5,c1cc(-c2nc(C3CCNCC3)cc(N3CCOCC3)n2)c2cc[nH]c2c1,0,888
3524,CC(C)CNc1nc(ncc1C(=O)NCc2ccccc2)N3CCN(CC4CCCOC4)CC3,O=C(NCc1ccccc1)c1cnc(N2CCN(CC3CCCOC3)CC2)nc1,1,1691
5055,COc1cc(ccc1N)C(=O)NC[C@@H](O)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3,O=C(NCCCN1CCC(Oc2ccccc2)CC1)c1ccccc1,1,1231
776,COc1cnc(OC)c2[nH]cc(C(=O)C(=O)N3CCN(CC3)C(=O)c4ccccc4)c12,O=C(C(=O)N1CCN(C(=O)c2ccccc2)CC1)c1c[nH]c2cnccc12,0,6079
91,OC(=O)c1cc(ccc1O)\N=N\c2ccc(cc2)S(=O)(=O)Nc3ccccn3,O=S(=O)(Nc1ccccn1)c1ccc(N=Nc2ccccc2)cc1,0,2158
6454,Fc1cnc2cc(Cl)cnc2c1CCC34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5,O=C1COc2ccc(CNC34CCC(CCc5ccnc6cccnc56)(CC3)OC4)nc2N1,1,4159
2662,C[C@H](c1cccnc1)c2c(CCN(C)C)sc3ccccc23,c1cncc(Cc2csc3ccccc23)c1,1,1350
7904,CN(C)c1ccc(cc1)C(=O)N(CCCCCC(=O)NO)CC(=O)NCc2ccccc2,O=C(CNC(=O)c1ccccc1)NCc1ccccc1,0,1295
115,CN(CCOc1ccc(NS(=O)(=O)C)cc1)CCc2ccc(NS(=O)(=O)C)cc2,c1ccc(CCNCCOc2ccccc2)cc1,1,7077
5251,CN(C)CCCC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4,O=C(NCc1ccccc1)C1CCN(c2ncnc3[nH]ccc23)CC1,0,2999
5626,O=C(Cc1ccc(cc1)n2cnnn2)N3CCN(CCc4ccc5COC(=O)c5c4)CC3,O=C1OCc2ccc(CCN3CCN(C(=O)Cc4ccc(-n5cnnn5)cc4)CC3)cc21,0,7203
203,O=C1C(C(=O)c2ccccc12)c3ccccc3,O=C1c2ccccc2C(=O)C1c1ccccc1,0,2995
7618,Fc1cc(cc(F)c1OCCCN2CC3CN(CCNS(=O)(=O)c4ccc(cc4)C#N)CC(C2)O3)C#N,O=S(=O)(NCCN1CC2CN(CCCOc3ccccc3)CC(C1)O2)c1ccccc1,0,4000
2284,CC1(C)Cc2cccc(CN3CCC4(CC3)CCN(CC4)C(=O)c5ccc(N)cn5)c2O1,O=C(c1ccccn1)N1CCC2(CCN(Cc3cccc4c3OCC4)CC2)CC1,0,6991
3720,N[C@H]1CCCN(C1)c2ncc(C(=O)N)c(Nc3cccc(c3)C(F)(F)F)n2,c1ccc(Nc2ccnc(N3CCCCC3)n2)cc1,1,4296
7703,O=S(=O)(NCCN1CC2CN(Cc3ccc(cc3)C#N)CC(C1)O2)c4cccc(c4)C#N,O=S(=O)(NCCN1CC2CN(Cc3ccccc3)CC(C1)O2)c1ccccc1,0,1171
322,CCCCOc1ccc(OCCCN2CCOCC2)cc1,c1ccc(OCCCN2CCOCC2)cc1,0,1650
3136,Fc1cccc(COC2=CC(=O)N(C=C2)c3ccc(OCCN4CCCC4)cc3)c1,O=c1cc(OCc2ccccc2)ccn1-c1ccc(OCCN2CCCC2)cc1,1,6166
8146,COc1ccc(NC(=N)NCCCOc2ccc(F)cc2)cc1,N=C(NCCCOc1ccccc1)Nc1ccccc1,1,4550
2610,CCOCCn1c(nc2ccccc12)N3CC[C@@H](C3)N(C)C,c1ccc2[nH]c(N3CCCC3)nc2c1,1,4113
1502,CC(C)CNc1nc(nc(N2CCNCC2)c1N)C#N,c1cc(N2CCNCC2)ncn1,0,5917
5193,Cc1ccc(cc1)C#CCOCc2cccc(COCC#Cc3ccc(C)cc3)[n+]2C,C(#Cc1ccccc1)COCc1cccc(COCC#Cc2ccccc2)[nH+]1,1,6010
3752,COC(=O)C1(CNC(=O)c2cc(OC)cc(OC)c2)CCN(Cc3cccc(OC)c3)CC1,O=C(NCC1CCN(Cc2ccccc2)CC1)c1ccccc1,1,4501
4811,COc1ccc2N=CC(=O)N(CCN3CC[C@@H](NCc4ccc5OCC(=O)Nc5n4)[C@@H](F)C3)c2c1,O=C1COc2ccc(CNC3CCN(CCn4c(=O)cnc5ccccc54)CC3)nc2N1,0,6203
4608,CSc1cc(CCN2CCN(CCc3ccc4C(=O)OCc4c3)CC2)ccc1C#N,O=C1OCc2cc(CCN3CCN(CCc4ccccc4)CC3)ccc21,1,622
887,COC1=C(OC)C(=O)C(=C(C)C1=O)CCCCCCCCCCO,O=C1C=CC(=O)C=C1,0,4178
3095,CC(C)C(Br)C(=O)NC(=O)N,,0,7075
3229,Cl.CC(N(C)C)C1(CCCCC1)c2ccc(Cl)c(Cl)c2,c1ccc(C2CCCCC2)cc1,0,2570
529,O=C(N[C@@H]1CC[C@@H](CCN2CCc3cc(ccc3C2)C#N)CC1)c4ccnc5ccccc45,O=C(NC1CCC(CCN2CCc3ccccc3C2)CC1)c1ccnc2ccccc12,1,291
357,COCCOC(=O)C1=C(C)NC(=C(C1c2cccc(c2)[N+](=O)[O-])C(=O)OC(C)C)C,C1=CC(c2ccccc2)C=CN1,0,926
7780,CC(C)(C)OC(=O)NCCN1CC2CN(CCNS(=O)(=O)c3ccc(F)cc3)CC(C1)O2,O=S(=O)(NCCN1CC2CNCC(C1)O2)c1ccccc1,0,1966
4565,O=C1Nc2ccccc2N1C3CCN(CC3)C4CCCCC4,O=c1[nH]c2ccccc2n1C1CCN(C2CCCCC2)CC1,0,7692
6573,CCn1cc(cn1)C2(N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccc(F)cn6)C7=NN(C)C(=O)O7,O=c1[nH]nc(C2(c3cn[nH]c3)NC(c3nc(-c4ccccn4)c[nH]3)Cc3c2[nH]c2ccccc32)o1,0,250
1666,CCC[C@@H]1NC(=NC1(c2ccc(F)cc2)c3ccc(F)cc3)c4cc(ccn4)C#N,c1ccc(C2(c3ccccc3)CNC(c3ccccn3)=N2)cc1,1,1517
2874,NC(=O)c1ccnc(O[C@H]2C[C@H]3CC[C@@H](C2)N3Cc4ccccc4)c1,c1ccc(CN2C3CCC2CC(Oc2ccccn2)C3)cc1,1,543
8083,Cl.CN(C\C=C\c1ccc(cc1)c2ccccc2)Cc3coc4ccccc34,C(=Cc1ccc(-c2ccccc2)cc1)CNCc1coc2ccccc12,0,2182
6626,COc1cccc2c1nc(N)n3nc(CN4CCN(C[C@H]4C)c5ncc(C)s5)nc23,c1ccc2c(c1)ncn1nc(CN3CCN(c4nccs4)CC3)nc21,0,4396
7531,Fc1ccc(OCCN2CC3CN(CCNS(=O)(=O)c4ccc(cc4)C#N)CC(C2)O3)cc1,O=S(=O)(NCCN1CC2CN(CCOc3ccccc3)CC(C1)O2)c1ccccc1,0,231
6317,CC1=CC(=O)N2C[C@](O)(CC34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)c7c(F)cnc1c27,O=C1COc2ccc(CNC34CCC(CC5Cn6c(=O)ccc7nccc5c76)(CC3)OC4)nc2N1,0,3073
824,Cc1onc(c1)c2ccc3CCN(CCCSc4nnc(c5ccc(cc5)C(F)(F)F)n4C)CCc3c2,c1ccc(-c2nnc(SCCCN3CCc4ccc(-c5ccon5)cc4CC3)[nH]2)cc1,1,385
4830,Cl.C[C@@H]1CCCCN1CCCNCc2ccc(CNCCCN3CCCC[C@H]3C)cc2,c1cc(CNCCCN2CCCCC2)ccc1CNCCCN1CCCCC1,0,3662
914,Cc1oc2cc3CCN(CCCSc4nnc(c5ocnc5C)n4C)CCc3cc2n1,c1ncc(-c2nnc(SCCCN3CCc4cc5ncoc5cc4CC3)[nH]2)o1,0,3138
285,NS(=O)(=O)c1cc(ccc1Cl)C2(O)NC(=O)c3ccccc23,O=C1NC(c2ccccc2)c2ccccc21,0,404
49,OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F,c1ccc(C(Cn2cncn2)Cn2cncn2)cc1,0,1848
546,CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(=O)C,O=C1C=C2C=CC3C4CCCC4CCC3C2CC1,0,3524
